0,job_title
1,Data Scientist
2,Machine Learning Scientist
3,Big Data Engineer
4,Product Data Analyst
5,Machine Learning Engineer
6,Data Analyst
7,Lead Data Scientist
8,Business Data Analyst
9,Lead Data Engineer
10,Lead Data Analyst
11,Data Engineer
12,Data Science Consultant
13,BI Data Analyst
14,Director of Data Science
15,Research Scientist
16,Machine Learning Manager
17,Data Engineering Manager
18,Machine Learning Infrastructure Engineer
19,ML Engineer
20,AI Scientist
21,Computer Vision Engineer
22,Principal Data Scientist
23,Data Science Manager
24,Head of Data
25,3D Computer Vision Researcher
26,Data Analytics Engineer
27,Applied Data Scientist
28,Marketing Data Analyst
29,Cloud Data Engineer
30,Financial Data Analyst
31,Computer Vision Software Engineer
32,Director of Data Engineering
33,Data Science Engineer
34,Principal Data Engineer
35,Machine Learning Developer
36,Applied Machine Learning Scientist
37,Data Analytics Manager
38,Head of Data Science
39,Data Specialist
40,Data Architect
41,Finance Data Analyst
42,Principal Data Analyst
43,Big Data Architect
44,Staff Data Scientist
45,Analytics Engineer
46,ETL Developer
47,Head of Machine Learning
48,NLP Engineer
49,Lead Machine Learning Engineer
50,Data Analytics Lead
